議題類型,議題索引鍵,議題 ID,摘要,受託人,受託人 ID,回報者,回報者 ID,優先順序,狀態,解決方法,已建立,已更新,截止日期
漏洞,RSGCL-5,57250,0105【Uat】【R1】機台大廳-遊戲紀錄-需確認紀錄語系是否可隨機台語系進行切換,Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,06/一月/26 1:31 下午,21/四月/26 5:41 下午,
漏洞,RSGCMC-5,57248,0105【Uat】【R1】機台大廳-洗分流程-需確認尚有未完成遊戲是否可洗分,Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,06/一月/26 11:55 上午,21/四月/26 5:41 下午,
漏洞,RSGCCC-6,57246,0105【Uat】【R1】機台遊戲六款-有請財神-免費遊戲結束後贏分不會自動加入餘額,LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,06/一月/26 11:49 上午,21/四月/26 5:41 下午,
漏洞,RSGCMC-3,57238,0105【Uat】【R1】機台大廳-開分/洗分視窗-取消按鈕顯示為清除,gao,712020:760509ab-5f7a-4366-a044-df0f69821759,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,06/一月/26 11:29 上午,21/四月/26 5:41 下午,
漏洞,RSGCSC-5,57233,0105【Uat】【R1】機台遊戲六款-全遊戲-有贏分時切換押分，贏分不會歸０,Gms,5d147d02e207030bd3c6bdd2,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,06/一月/26 11:09 上午,21/四月/26 5:41 下午,
漏洞,RSGCCNY3-3,57229,0105【Uat】【R1】機台遊戲六款-大過年3-Buy Feature文案移除逗號,grace,712020:afdf8426-d95b-4dfb-86ec-5b42391ad354,Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,Medium,結案,,06/一月/26 10:22 上午,19/一月/26 11:16 上午,
漏洞,RSGCSC-4,57155,0105【Uat】【R1】機台遊戲六款-全遊戲-額度為0時，開啟額外押分再關閉，購買特色按鈕會致能,Gms,5d147d02e207030bd3c6bdd2,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,05/一月/26 5:20 下午,21/四月/26 5:42 下午,
漏洞,RSGCCC-5,57153,0105【Uat】【R1】機台遊戲六款-有請財神-英文-免遊載入頁面 文案與規格文件不符,Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 5:16 下午,21/四月/26 5:42 下午,
漏洞,RSGCSC-3,57150,0105【Uat】【R1】機台遊戲六款-全遊戲-餘額為0情況 開啟說明頁後開分 此時購買特色按鈕會變為亮起並且可以點擊,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 5:02 下午,21/四月/26 5:42 下午,
漏洞,RSGCSC-28,57149,0105【Uat】【R1】機台遊戲六款-大過年3/麻將發了2-開啟額外押分，可使用機台按鈕進行購買特色,Gms,5d147d02e207030bd3c6bdd2,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,05/一月/26 5:00 下午,21/四月/26 5:42 下午,
漏洞,RSGCCC-4,57147,"0105【Uat】【R1】機台遊戲六款-有請財神-英文-購買免遊視窗""確認、開始""顯示為中文",LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 4:51 下午,21/四月/26 5:42 下午,
漏洞,RSGCCC-3,57143,"0105【Uat】【R1】機台遊戲六款-有請財神-英文-百搭""Symbols""文案與規格文件不符",Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 4:29 下午,21/四月/26 5:42 下午,
漏洞,RSGCSC-1,57141,0105【Uat】【R1】機台遊戲六款-全遊戲-繁體-購買特色文案與規格文件不符,Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 4:28 下午,21/四月/26 5:42 下午,
漏洞,RSGCSC-2,57131,0105【Uat】【R1】機台遊戲六款-需確認各遊戲載入頁面是否顯示'RSG'Logo+'皇家電子'文字,kemeterchang,712020:89412c0f-f142-4686-9760-6139539212fe,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 3:27 下午,21/四月/26 5:42 下午,
漏洞,RSGCCNY3-2,57129,0105【Uat】【R1】機台遊戲六款-大過年3-overview缺少免費旋轉特色部份說明,Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,05/一月/26 3:23 下午,21/四月/26 5:42 下午,
漏洞,RSGCCNY3-1,57127,0105【Uat】【R1】機台遊戲六款-大過年3-說明頁下方頁次圓點顯示異常,grace,712020:afdf8426-d95b-4dfb-86ec-5b42391ad354,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,05/一月/26 3:18 下午,21/四月/26 5:42 下午,
漏洞,RSGCCC-2,57126,0105【Uat】【R1】機台遊戲六款-有請財神-全語系-說明頁缺少贏分線頁面,LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 3:13 下午,21/四月/26 5:42 下午,
漏洞,RSGCCC-1,57121,0105【Uat】【R1】機台遊戲六款-有請財神-全語系-Loading與規格文件不符,Clara Wu,712020:d73a2c6b-ee79-4beb-8699-1425f0060980,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,05/一月/26 2:46 下午,21/四月/26 5:42 下午,
