議題類型,議題索引鍵,議題 ID,摘要,受託人,受託人 ID,回報者,回報者 ID,優先順序,狀態,解決方法,已建立,已更新,截止日期
漏洞,RSGCLUXE-56,74935,"0721 【Uat】【R2】機台新遊戲 - 奢華-幸運草收集後如會MAXWIN,下方贏分顯示0",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 9:49 上午,24/七月/26 3:11 下午,
漏洞,RSGCLUXE-55,74934,"0721 【Uat】【R2】機台新遊戲 - 奢華-額外押分/購買特色界面,選取左側選項後,選項中間會出現綠色小勾",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 9:26 上午,24/七月/26 3:19 下午,
漏洞,RSGCLUXE-54,74933,"0721 【Uat】【R2】機台新遊戲 - 奢華-開啟額外押分/購買特色界面,仍可點擊界面外功能(選單/自動轉/bet表等)",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 9:20 上午,24/七月/26 3:23 下午,
漏洞,RSGCLUXE-53,74932,0721 【Uat】【R2】機台新遊戲 - 奢華-金框符號確認(倍數值超過25x即會顯示為彩金框),ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 9:16 上午,24/七月/26 3:25 下午,
漏洞,RSGCLUXE-52,74930,0721 【Uat】【R2】機台新遊戲 - 奢華-FG期待動畫閃光遮罩沒有整列滿版,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 9:10 上午,24/七月/26 3:36 下午,
漏洞,RSGCLUXE-51,74910,0721 【Uat】【R2】機台新遊戲 - 奢華-Trigger FG有贏分，停輪前/連線時斷連，回到遊戲後秀線分數異常,Gms,5d147d02e207030bd3c6bdd2,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,21/七月/26 4:38 下午,24/七月/26 3:21 下午,
漏洞,RSGCLUXE-50,74892,"0716 【Uat】【R1】機台新遊戲 - 奢華-B1期待動畫中急停,會有短暫卡頓",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,21/七月/26 2:09 下午,25/七月/26 12:41 下午,
改善,RSGCCHN-16,74864,0721 機台新遊戲 - 秦皇傳說 - FG 結算出現轉場前 會先顯示BaseGame畫面,Steve Yeh,712020:8dfb256b-ce1e-4d10-88d4-d74aba540cbe,Gms,5d147d02e207030bd3c6bdd2,Medium,完成,完成,21/七月/26 9:34 上午,21/七月/26 10:08 上午,
漏洞,RSGCLUXE-49,74841,"0716 【Uat】【R1】機台新遊戲 - 奢華-有連線贏分停輪後,如未再次點擊spin,應持續輪播秀線動畫",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,20/七月/26 4:57 下午,24/七月/26 3:18 下午,
漏洞,RSGCLUXE-48,74836,0716 【Uat】【R1】機台新遊戲 - 奢華-特色JP顯示無千分位符號,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,20/七月/26 4:03 下午,21/七月/26 5:13 下午,
漏洞,RSGCLUXE-47,74834,0716 【Uat】【R1】機台新遊戲 - 奢華 - 一擲千金觸發機率低 確認是否調整,ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,20/七月/26 3:58 下午,21/七月/26 5:14 下午,
漏洞,RSGCLUXE-46,74830,0716 【Uat】【R1】機台新遊戲 - 奢華-大獎燈條播放與規格不符,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,20/七月/26 3:45 下午,24/七月/26 3:17 下午,
漏洞,RSGCLUXE-45,74810,"0716 【Uat】【R1】機台新遊戲 - 奢華-FG內B1出現3個後,後續不應有期待動畫",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,20/七月/26 11:33 上午,27/七月/26 10:45 上午,
漏洞,RSGCLUXE-44,74809,"0716 【Uat】【R1】機台新遊戲 - 奢華-有倍數贏分(無BIG WIN)+幸運草收集時,連線贏分會等待幸運草收集後才出現",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,20/七月/26 10:57 上午,24/七月/26 3:14 下午,
漏洞,RSGCLUXE-43,74808,0716 【Uat】【R1】機台新遊戲 - 奢華-FG結束後，需要SPIN下一局，背景音樂才會變更為BG的音樂,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,20/七月/26 10:12 上午,22/七月/26 10:41 上午,
漏洞,RSGCLUXE-42,74807,0716 【Uat】【R1】機台新遊戲 - 奢華-Spin後觸控螢幕無急停效果,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,20/七月/26 9:59 上午,25/七月/26 12:37 下午,
漏洞,RSGCLUXE-41,74778,0716 【Uat】【R1】機台新遊戲 - 奢華-觸發免遊後斷線重連 JP金額有誤,Gms,5d147d02e207030bd3c6bdd2,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,17/七月/26 5:13 下午,22/七月/26 11:14 上午,
漏洞,RSGCLUXE-40,74776,0716 【Uat】【R1】機台新遊戲 - 奢華-FG結束後，需要SPIN下一局，總分才會正確更新,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 5:02 下午,24/七月/26 2:46 下午,
漏洞,RSGCLUXE-39,74775,"0716 【Uat】【R1】機台新遊戲 - 奢華-Overview-英文-HELP多處'框'英文為""fram"",應為""frame""",Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 4:54 下午,24/七月/26 2:42 下午,
漏洞,RSGCLUXE-38,74774,0716 【Uat】【R1】機台新遊戲 - 奢華-英文-FG(絲絨之夜)-mechanice換行導致顯示me-chanice,ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 4:27 下午,22/七月/26 9:08 上午,
漏洞,RSGCLUXE-37,74773,"0716 【Uat】【R1】機台新遊戲 - 奢華-英文-購買免遊選單標題""BUY FEATURE""與規格不符",Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 4:06 下午,24/七月/26 2:40 下午,
漏洞,RSGCLUXE-36,74767,0716 【Uat】【R1】機台新遊戲 - 奢華 FG已達MAXWIN當有剩餘場數未轉時 是否需修改(10免費旋轉已玩)文案,Gms,5d147d02e207030bd3c6bdd2,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,17/七月/26 3:31 下午,22/七月/26 8:21 上午,
漏洞,RSGCLUXE-35,74766,0716 【Uat】【R1】機台新遊戲 - 奢華-購買特色，調整BET後購買，上方JP金額不會隨BET調整而變動,Gms,5d147d02e207030bd3c6bdd2,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 3:30 下午,22/七月/26 11:32 上午,
漏洞,RSGCLUXE-34,74765,"0716 【Uat】【R1】機台新遊戲 - 奢華-FG內幸運草收集JP特色(MAXWIN)時,大獎動畫會在收集動畫前播放",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 2:39 下午,24/七月/26 3:44 下午,
漏洞,RSGCLUXE-33,74764,0716 【Uat】【R1】機台新遊戲 - 奢華-英文-遊戲說明-購買黑與金免費旋轉特色，購買倍率錯誤,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 2:23 下午,22/七月/26 9:54 上午,
漏洞,RSGCLUXE-32,74763,0716 【Uat】【R1】機台新遊戲 - 奢華-英文-遊戲說明-黑與金的標題顯示為幸運草水晶，說明內文顯示為最大贏分的說明,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 2:18 下午,22/七月/26 11:27 上午,
漏洞,RSGCLUXE-31,74761,0716 【Uat】【R1】機台新遊戲 - 奢華-遊戲說明-金框符號特色-彩金框圖示文字顯示「MAGA」,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 2:13 下午,22/七月/26 11:25 上午,
漏洞,RSGCLUXE-30,74760,0716 【Uat】【R1】機台新遊戲 - 奢華-英文-FG1黑與金的Title顯示為黃金爆擊的文案,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 2:03 下午,22/七月/26 11:06 上午,
漏洞,RSGCLUXE-29,74756,0716 【Uat】【R1】機台新遊戲 - 奢華-英文-廣告文未顯示完整,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 1:54 下午,22/七月/26 11:03 上午,
漏洞,RSGCLUXE-28,74755,"0716 【Uat】【R1】機台新遊戲 - 奢華-進出遊戲後,盤面會變為初始盤面(應保留最後一局盤面)",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 1:49 下午,22/七月/26 11:00 上午,
漏洞,RSGCLUXE-27,74754,0716 【Uat】【R1】機台新遊戲 - 奢華-遊戲說明-加速觸發免費旋轉，額外押分倍率顯示錯誤,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 1:49 下午,22/七月/26 9:55 上午,
漏洞,RSGCLUXE-26,74753,"0716 【Uat】【R1】機台新遊戲 - 奢華-FG內斷線重連,金框/倍數均會消失,下一把才會出現",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 1:45 下午,23/七月/26 11:25 上午,
漏洞,RSGCLUXE-25,74752,0716 【Uat】【R1】機台新遊戲 - 奢華-FG-Title顯示與Overview不同,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 1:31 下午,22/七月/26 11:23 上午,
漏洞,RSGCLUXE-24,74751,"0716 【Uat】【R1】機台新遊戲 - 奢華-幸運草收集JP特色後,會導致該框後續出現JP特色均為壓暗",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 1:28 下午,24/七月/26 2:36 下午,
漏洞,RSGCLUXE-23,74750,0716 【Uat】【R1】機台新遊戲 - 奢華-購買特色-開始/取消按鈕文字顯示與Overview不同,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 1:24 下午,22/七月/26 8:48 上午,
漏洞,RSGCLUXE-22,74746,0716 【Uat】【R1】機台新遊戲 - 奢華-觸發免遊後斷線重連 會跳回BG介面,Gms,5d147d02e207030bd3c6bdd2,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,17/七月/26 11:50 上午,22/七月/26 8:40 上午,
漏洞,RSGCLUXE-21,74745,0716 【Uat】【R1】機台新遊戲 - 奢華-FG-大獎 MINI/MAJOR/MEGA，金框文字顯示錯誤,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 11:25 上午,22/七月/26 8:38 上午,
漏洞,RSGCLUXE-20,74744,"0716 【Uat】【R1】機台新遊戲 - 奢華-中MAXWIN JP時如盤面有其他贏分,下方贏分不應計算",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 11:22 上午,22/七月/26 9:42 上午,
漏洞,RSGCMC-128,74743,當觸發FG面板 按下服務燈再關閉 燈條只會一直顯示紅色,gao,712020:760509ab-5f7a-4366-a044-df0f69821759,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,未解決問題,,17/七月/26 11:18 上午,17/七月/26 11:18 上午,
漏洞,RSGCLUXE-19,74742,0716 【Uat】【R1】機台新遊戲 - 奢華-秀線動畫位置偏移,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 10:45 上午,22/七月/26 8:37 上午,
漏洞,RSGCLUXE-18,74740,0716 【Uat】【R1】機台新遊戲 - 奢華-開啟額外壓分 自動按鈕、加減長按功能應禁能,Gms,5d147d02e207030bd3c6bdd2,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,觀察中,,17/七月/26 10:40 上午,27/七月/26 1:51 下午,
漏洞,RSGCLUXE-17,74739,0716 【Uat】【R1】機台新遊戲 - 奢華-金框大獎和倍數有機會同時出現,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,17/七月/26 10:33 上午,22/七月/26 10:55 上午,
漏洞,RSGCLUXE-16,74738,0716 【Uat】【R1】機台新遊戲 - 奢華 Overview贏分線繁體文案顯示簡體,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,17/七月/26 10:19 上午,22/七月/26 8:31 上午,
漏洞,RSGCLUXE-15,74737,"0716 【Uat】【R1】機台新遊戲 - 奢華-倍數無觸發命中沒升級時,轉動不應有升級動畫",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 9:34 上午,27/七月/26 2:27 下午,
漏洞,RSGCLUXE-14,74736,0716 【Uat】【R1】機台新遊戲 - 奢華-FG Retrigger沒有提示文案/動畫,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 9:09 上午,24/七月/26 2:16 下午,
漏洞,RSGCLUXE-13,74735,0716 【Uat】【R1】機台新遊戲 - 奢華-購買免遊時BetAmountInCash高於200無法透過實體按鈕切換為黃金爆擊選項,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 8:56 上午,21/七月/26 5:37 下午,
漏洞,RSGCLUXE-12,74734,0716 【Uat】【R1】機台新遊戲 - 奢華-JP特色觸發命中/刷新倍數後文案不會消失,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,17/七月/26 8:54 上午,21/七月/26 5:36 下午,
漏洞,RSGCLUXE-11,74731,"0716 【Uat】【R1】機台新遊戲 - 奢華-FG(絲絨之夜)滾輪時,不應該有B1 symbol",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 8:02 下午,24/七月/26 2:08 下午,
漏洞,RSGCLUXE-10,74730,0716 【Uat】【R1】機台新遊戲 - 奢華-FG每局贏分均會從0開始計算,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 8:00 下午,24/七月/26 3:44 下午,
漏洞,RSGCLUXE-9,74729,"0716 【Uat】【R1】機台新遊戲 - 奢華-同一條贏分線,該格沒觸發連線,倍數也會升級",阿仁,712020:f6f5fdbb-bf5f-4d65-9648-d8fe549bd614,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 7:58 下午,24/七月/26 1:46 下午,
漏洞,RSGCLUXE-8,74728,0716 【Uat】【R1】機台新遊戲 - 奢華-Spin 不能跳過贏分/贏分線動畫/大獎動畫,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 7:44 下午,24/七月/26 1:39 下午,
漏洞,RSGCLUXE-7,74727,"0716 【Uat】【R1】機台新遊戲 - 奢華-一擲千金,金框轉動時應直接顯示MAXWIN",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 7:34 下午,21/七月/26 5:51 下午,
漏洞,RSGCLUXE-6,74726,0716 【Uat】【R1】機台新遊戲 - 奢華-特色JP文案顯示錯誤,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 7:30 下午,21/七月/26 5:35 下午,
漏洞,RSGCLUXE-5,74725,0716 【Uat】【R1】機台新遊戲 - 奢華-額外押分倍數確認,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 7:24 下午,21/七月/26 5:11 下午,
漏洞,RSGCLUXE-4,74724,0716 【Uat】【R1】機台新遊戲 - 奢華-幸運草收集不會演示大獎動畫,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 7:03 下午,24/七月/26 3:43 下午,
漏洞,RSGCLUXE-3,74723,0716 【Uat】【R1】機台新遊戲 - 奢華-開啟額外押分上方jp會顯示成額外押分*倍數贏分（應顯示原bet贏分）,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 7:00 下午,21/七月/26 5:10 下午,
漏洞,RSGCLUXE-2,74722,0716 【Uat】【R1】機台新遊戲 - 奢華-開啟一擲千金如押分過大會導致押分顯示重疊上下箭頭,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 6:57 下午,24/七月/26 11:33 上午,
漏洞,RSGCSA2-13,74721,0716【Uat】【R2】機台新遊戲 - 超級王牌2 斷線重連後 FG上方牌靴無發牌動畫,LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,16/七月/26 6:55 下午,21/七月/26 4:11 下午,
漏洞,RSGCLUXE-1,74720,"0716 【Uat】【R1】機台新遊戲 - 奢華-啟用額外押分,進入說明頁時按鈕仍為亮起狀態",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,16/七月/26 6:49 下午,21/七月/26 5:07 下午,
漏洞,RSGCSA2-12,74719,0716【Uat】【R2】機台新遊戲 - 超級王牌2 購買免遊按下確認SPIN無音效,LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,16/七月/26 6:44 下午,21/七月/26 4:08 下午,
漏洞,RSGCMC-127,74681,0716【Prod】版本升級測試 - V16-正式站後台贏輸報表沒有秦皇傳說/賞金獵人欄位,Crimson 丹合,712020:363a0144-b688-4c80-b105-43b49fbefa89,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,已解決,,16/七月/26 1:51 下午,20/七月/26 1:09 下午,
漏洞,RSGCBH-11,74657,"賞金獵人機台更版後,首次spin會卡在旋轉流程",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,未解決問題,,15/七月/26 2:55 下午,15/七月/26 2:55 下午,
漏洞,RSGCSA2-11,74651,0713【Uat】【R1】機台新遊戲 - 超級王牌2 Mega跟Super音效 最後有重複撥放一小段,華華,712020:73f12dd5-be48-484c-bb50-e35425d9c0b2,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,15/七月/26 11:57 上午,16/七月/26 6:13 下午,
漏洞,RSGCSA2-10,74632,0713【Uat】【R1】機台新遊戲 - 超級王牌2-中JP後點擊SPIN，會播放兩次關閉音效,LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,14/七月/26 2:14 下午,16/七月/26 6:22 下午,
漏洞,RSGCSA2-9,74629,"0713【Uat】【R1】機台新遊戲 - 超級王牌2-spin後，在滾停前點擊 ""滾輪區域"" 的任意位置，未有即停效果",LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,觀察中,,14/七月/26 1:56 下午,15/七月/26 10:11 上午,
漏洞,RSGCSA2-8,74628,"0713【Uat】【R1】機台新遊戲 - 超級王牌2-進FG盤面如同時出現大小王wild,此時小王wild無須連線贏分也會亮起",LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,14/七月/26 1:53 下午,16/七月/26 7:20 下午,
漏洞,RSGCSA2-7,74626,0713【Uat】【R1】機台新遊戲 - 超級王牌2-第一次轉動有卡頓情況,kemeterchang,712020:89412c0f-f142-4686-9760-6139539212fe,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,觀察中,,14/七月/26 1:34 下午,14/七月/26 2:23 下午,
漏洞,RSGCSA2-6,74625,0713【Uat】【R1】機台新遊戲 - 超級王牌2-免遊結算面版 跑分時顯示很慢,LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-darwin,712020:854bc137-7e5c-4296-b626-473dec40e4ea,Medium,觀察中,,14/七月/26 1:32 下午,15/七月/26 10:16 上午,
漏洞,RSGCSA2-5,74624,0713【Uat】【R1】機台新遊戲 - 超級王牌2-免遊結算面版 跑分時無法點擊跳過,華華,712020:73f12dd5-be48-484c-bb50-e35425d9c0b2,QA-darwin,712020:854bc137-7e5c-4296-b626-473dec40e4ea,Medium,觀察中,,14/七月/26 1:26 下午,14/七月/26 1:43 下午,
漏洞,RSGCSA2-4,74623,"0713【Uat】【R1】機台新遊戲 - 超級王牌2-離開免遊後,後續spin上方牌靴無發牌動畫",LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,14/七月/26 11:58 上午,16/七月/26 6:50 下午,
漏洞,RSGCSA2-3,74622,"0713【Uat】【R1】機台新遊戲 - 超級王牌2-進入免遊 斷線重連後""額外押分""按鈕消失",LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,14/七月/26 11:40 上午,16/七月/26 6:31 下午,
漏洞,RSGCSA2-2,74619,0713【Uat】【R1】機台新遊戲 - 超級王牌2-繁中-額外押分，開啟提示文字顯示與Overview不符,LuluHsu,712020:e0539f60-c2ea-4126-91fc-2e267711c91b,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,14/七月/26 10:44 上午,16/七月/26 6:33 下午,
漏洞,RSGCSA2-1,74578,0713【Uat】【R1】機台新遊戲 - 超級王牌2 BONUS Symbol壓到文字,華華,712020:73f12dd5-be48-484c-bb50-e35425d9c0b2,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,13/七月/26 5:24 下午,16/七月/26 6:14 下午,
漏洞,RSGCCHN-15,74568,0709【Uat】【R1】機台新遊戲 - 秦皇傳說-斷線重連 有贏分、BigWin觸發FG 贏分的滾分動畫會再次滾動,Steve Yeh,712020:8dfb256b-ce1e-4d10-88d4-d74aba540cbe,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,13/七月/26 11:36 上午,14/七月/26 4:53 下午,
漏洞,RSGCCHN-14,74567,0709【Uat】【R1】機台新遊戲 - 秦皇傳說-斷線重連-滾動中BG有贏分(Bigwin) 會顯示M1*6的金額,Steve Yeh,712020:8dfb256b-ce1e-4d10-88d4-d74aba540cbe,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,13/七月/26 11:02 上午,14/七月/26 4:56 下午,
漏洞,RSGCCHN-13,74562,0709【Uat】【R1】機台新遊戲 - 秦皇傳說-FG-「累計局數」用字與Overview不同,華華,712020:73f12dd5-be48-484c-bb50-e35425d9c0b2,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,13/七月/26 10:17 上午,14/七月/26 4:09 下午,
漏洞,RSGCSC-102,74539,全遊戲-斷電重連-會導致遊戲中機台右側按鈕無禁能,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,未解決問題,,10/七月/26 3:48 下午,10/七月/26 3:48 下午,
漏洞,RSGCSC-101,74536,"全遊戲-購買特色頁面未關閉時,可點擊自動轉按鈕(該把bet可低於 BG最小押注額)",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,未解決問題,,10/七月/26 3:44 下午,10/七月/26 3:44 下午,
